id,segment,name,status,end_date,start_date,budget,spend
610,High CLV Customers,Premium Features Upsell,Scheduled,12/1/2025,9/22/2025,59855,60071
611,Inactive > 90 Days,Deep Winback,Active,10/20/2025,6/21/2025,63050,66792
612,New Signups (Last 30 Days),Getting Started Journey,Scheduled,6/16/2025,7/23/2025,1924,1992
613,Churn Risk,Reactivation Journey,Completed,12/20/2024,3/21/2025,1724,1738
614,Churn Risk,Loyalty Reminder,Completed,4/11/2025,2/20/2025,33561,24591
615,Churn Risk,Winback Flow,Active,9/2/2025,7/31/2025,46840,36621
616,High CLV Customers,End-of-Year Upsell,Scheduled,1/14/2025,8/11/2025,50624,40888
617,New Signups (Last 30 Days),New Signup Nurture,Active,5/5/2025,9/26/2025,43003,45821
618,High CLV Customers,Premium Features Upsell,Active,11/6/2025,1/10/2025,98994,76887
619,New Signups (Last 30 Days),Getting Started Journey,Active,1/28/2025,9/17/2025,2659,1966
620,Churn Risk,Reactivation Journey,Completed,5/18/2025,11/18/2025,36878,39711
621,Inactive > 90 Days,Come-Back Offer,Scheduled,2/28/2025,12/25/2024,92072,72389
622,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,7/10/2025,3/1/2025,37541,36347
623,High CLV Customers,Exclusive Member Upgrade,Active,6/29/2025,10/18/2025,62616,61607
624,Inactive > 90 Days,Come-Back Offer,Active,10/5/2025,3/17/2025,83990,67190
625,New Signups (Last 30 Days),New Signup Nurture,Active,3/7/2025,8/14/2025,27672,24305
626,Churn Risk,We Miss You,Completed,3/24/2025,10/5/2025,82696,66746
627,Churn Risk,Reactivation Journey,Completed,9/17/2025,12/1/2025,33022,29709
628,Inactive > 90 Days,Deep Winback,Scheduled,2/17/2025,4/9/2025,8805,7570
629,High CLV Customers,Premium Features Upsell,Completed,6/23/2025,12/8/2025,66257,62105
630,High CLV Customers,End-of-Year Upsell,Active,1/8/2025,2/20/2025,60051,59190
631,New Signups (Last 30 Days),New Signup Nurture,Active,9/14/2025,9/15/2025,53518,42735
632,High CLV Customers,End-of-Year Upsell,Completed,1/16/2025,1/23/2025,92659,65331
633,High CLV Customers,End-of-Year Upsell,Active,7/28/2025,10/7/2025,44073,39726
634,Inactive > 90 Days,Deep Winback,Scheduled,11/22/2025,12/12/2024,6994,5760
635,Inactive > 90 Days,Come-Back Offer,Completed,5/26/2025,4/30/2025,89274,64715
636,High CLV Customers,VIP Rewards,Completed,10/17/2025,8/9/2025,8293,6786
637,Inactive > 90 Days,Deep Winback,Scheduled,7/23/2025,6/9/2025,99139,97927
638,Inactive > 90 Days,Deep Winback,Completed,8/4/2025,7/14/2025,86160,91617
639,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,11/17/2025,3/14/2025,51833,50719
640,High CLV Customers,End-of-Year Upsell,Completed,6/25/2025,6/18/2025,26072,19340
641,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,12/21/2024,9/18/2025,94964,93318
642,Inactive > 90 Days,Inactivity Reactivation Flow,Active,3/17/2025,6/30/2025,53402,48710
643,High CLV Customers,End-of-Year Upsell,Active,12/6/2025,11/11/2025,27102,27484
644,High CLV Customers,VIP Rewards,Active,5/22/2025,11/14/2025,81141,80562
645,Churn Risk,Loyalty Reminder,Scheduled,9/28/2025,2/10/2025,11400,8629
646,High CLV Customers,Exclusive Member Upgrade,Scheduled,12/19/2024,11/2/2025,31929,26355
647,High CLV Customers,Exclusive Member Upgrade,Scheduled,5/21/2025,10/9/2025,17617,18237
648,High CLV Customers,Exclusive Member Upgrade,Scheduled,11/12/2025,7/14/2025,8212,8941
649,Churn Risk,Winback Flow,Active,3/21/2025,12/3/2025,93729,85022
650,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,4/10/2025,7/23/2025,41467,45404
651,Churn Risk,Loyalty Reminder,Scheduled,3/9/2025,11/8/2025,53055,49360
652,Inactive > 90 Days,Inactivity Reactivation Flow,Active,3/16/2025,11/23/2025,95998,70494
653,Churn Risk,Winback Flow,Completed,4/23/2025,8/18/2025,70562,58621
654,High CLV Customers,VIP Rewards,Scheduled,1/23/2025,8/5/2025,64439,56692
655,New Signups (Last 30 Days),New Signup Nurture,Scheduled,12/22/2024,4/9/2025,23114,25125
656,New Signups (Last 30 Days),New Signup Nurture,Completed,3/12/2025,6/1/2025,7286,5609
657,Churn Risk,Winback Flow,Scheduled,7/11/2025,10/25/2025,27478,28287
658,Inactive > 90 Days,Come-Back Offer,Scheduled,12/23/2024,3/17/2025,90472,92813
659,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,7/12/2025,5/5/2025,3048,3053
660,High CLV Customers,Exclusive Member Upgrade,Active,10/21/2025,7/25/2025,85619,63356
661,Churn Risk,We Miss You,Active,2/6/2025,5/25/2025,9431,6884
662,Inactive > 90 Days,Deep Winback,Active,12/1/2025,5/5/2025,91395,95979
663,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,2/3/2025,1/8/2025,40193,28937
664,High CLV Customers,Premium Features Upsell,Active,8/15/2025,8/31/2025,47566,43064
665,High CLV Customers,VIP Rewards,Scheduled,7/14/2025,7/3/2025,83350,68421
666,New Signups (Last 30 Days),New Signup Nurture,Completed,5/17/2025,11/2/2025,21999,20595
667,Inactive > 90 Days,Come-Back Offer,Active,11/20/2025,8/31/2025,81343,74987
668,New Signups (Last 30 Days),Getting Started Journey,Completed,2/11/2025,9/6/2025,18766,16118
669,High CLV Customers,End-of-Year Upsell,Completed,8/24/2025,10/18/2025,94125,82309
670,Churn Risk,We Miss You,Active,4/8/2025,2/10/2025,74319,52909
671,High CLV Customers,Premium Features Upsell,Active,1/8/2025,6/7/2025,68975,69533
672,New Signups (Last 30 Days),Getting Started Journey,Scheduled,4/12/2025,3/1/2025,7272,6448
673,Inactive > 90 Days,Deep Winback,Scheduled,7/7/2025,11/9/2025,66034,47069
674,High CLV Customers,Exclusive Member Upgrade,Completed,1/7/2025,9/3/2025,70138,56090
675,New Signups (Last 30 Days),Getting Started Journey,Scheduled,8/8/2025,11/10/2025,87715,82184
676,Churn Risk,Winback Flow,Scheduled,5/7/2025,7/11/2025,56166,42293
677,New Signups (Last 30 Days),Getting Started Journey,Scheduled,7/15/2025,3/20/2025,75281,61298
678,High CLV Customers,End-of-Year Upsell,Completed,7/24/2025,9/25/2025,61985,59934
679,Churn Risk,Loyalty Reminder,Scheduled,9/10/2025,6/9/2025,9811,10535
680,New Signups (Last 30 Days),Welcome Series – Step 2,Active,8/21/2025,10/1/2025,91943,68523
681,New Signups (Last 30 Days),Getting Started Journey,Scheduled,8/10/2025,3/3/2025,45815,38181
682,Churn Risk,We Miss You,Active,3/21/2025,10/31/2025,21253,21926
683,Churn Risk,Loyalty Reminder,Active,5/9/2025,11/9/2025,54524,57201
684,New Signups (Last 30 Days),Welcome Series – Step 2,Active,8/7/2025,6/13/2025,55796,59367
685,High CLV Customers,Exclusive Member Upgrade,Scheduled,7/8/2025,3/15/2025,47902,51635
686,Inactive > 90 Days,Come-Back Offer,Scheduled,9/17/2025,6/23/2025,51907,40941
687,Churn Risk,Loyalty Reminder,Scheduled,1/15/2025,10/9/2025,1416,1460
688,Churn Risk,Reactivation Journey,Scheduled,3/23/2025,4/21/2025,67138,71888
689,Churn Risk,Loyalty Reminder,Scheduled,10/1/2025,12/4/2025,6386,4534
690,New Signups (Last 30 Days),New Signup Nurture,Scheduled,9/25/2025,12/22/2024,85605,72112
691,High CLV Customers,VIP Rewards,Completed,2/17/2025,3/30/2025,76486,62290
692,High CLV Customers,Exclusive Member Upgrade,Completed,2/19/2025,7/30/2025,46871,51003
693,Churn Risk,Reactivation Journey,Active,12/14/2024,10/16/2025,22681,20318
694,High CLV Customers,End-of-Year Upsell,Active,9/7/2025,12/5/2025,3327,3520
695,Inactive > 90 Days,Inactivity Reactivation Flow,Active,8/30/2025,3/11/2025,74682,63235
696,New Signups (Last 30 Days),Welcome Series – Step 1,Active,9/13/2025,5/21/2025,59209,63809
697,Churn Risk,Winback Flow,Active,1/19/2025,8/25/2025,1319,1232
698,Churn Risk,Winback Flow,Active,7/30/2025,2/16/2025,17865,17054
699,Churn Risk,Reactivation Journey,Active,5/29/2025,9/5/2025,94163,67969
700,Churn Risk,Loyalty Reminder,Completed,9/29/2025,5/23/2025,24132,16973
701,Inactive > 90 Days,Come-Back Offer,Active,3/12/2025,1/25/2025,25883,25191
702,New Signups (Last 30 Days),New Signup Nurture,Completed,11/8/2025,3/14/2025,65935,65744
703,New Signups (Last 30 Days),New Signup Nurture,Completed,9/1/2025,11/19/2025,16460,17719
704,Inactive > 90 Days,Deep Winback,Completed,1/23/2025,3/1/2025,93184,90597
705,Inactive > 90 Days,Deep Winback,Completed,8/19/2025,4/7/2025,71959,56707
706,High CLV Customers,VIP Rewards,Completed,1/20/2025,12/20/2024,50275,48794
707,High CLV Customers,Exclusive Member Upgrade,Active,7/26/2025,3/12/2025,89371,79733
708,Inactive > 90 Days,Deep Winback,Completed,8/24/2025,10/8/2025,43133,33555
709,New Signups (Last 30 Days),New Signup Nurture,Completed,6/6/2025,11/13/2025,91243,92104
710,High CLV Customers,End-of-Year Upsell,Active,2/23/2025,10/27/2025,5561,4151
711,New Signups (Last 30 Days),Getting Started Journey,Completed,8/12/2025,1/16/2025,3375,2458
712,Churn Risk,We Miss You,Completed,2/20/2025,12/10/2024,88995,93524
713,Inactive > 90 Days,Come-Back Offer,Active,1/27/2025,9/8/2025,92355,66347
714,Inactive > 90 Days,Deep Winback,Active,5/11/2025,12/10/2024,72890,79431
715,Inactive > 90 Days,Come-Back Offer,Scheduled,2/14/2025,2/9/2025,7862,6144
716,New Signups (Last 30 Days),Getting Started Journey,Completed,1/28/2025,3/15/2025,23430,22656
717,Churn Risk,We Miss You,Completed,4/16/2025,3/12/2025,98228,106663
718,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,6/8/2025,12/12/2024,70225,56838
719,New Signups (Last 30 Days),New Signup Nurture,Completed,3/17/2025,7/31/2025,14509,15413
720,New Signups (Last 30 Days),Getting Started Journey,Completed,4/16/2025,10/17/2025,99472,83233
721,Churn Risk,Winback Flow,Completed,4/22/2025,12/3/2025,76876,62715
722,High CLV Customers,Exclusive Member Upgrade,Active,1/22/2025,7/23/2025,72292,70137
723,New Signups (Last 30 Days),Welcome Series – Step 1,Active,6/25/2025,4/10/2025,36483,33663
724,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,5/8/2025,4/13/2025,4497,4502
725,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,11/15/2025,12/28/2024,86086,63263
726,New Signups (Last 30 Days),Getting Started Journey,Completed,5/9/2025,5/27/2025,52583,39952
727,Churn Risk,Winback Flow,Completed,4/27/2025,7/17/2025,81115,85245
728,Churn Risk,Reactivation Journey,Active,11/16/2025,3/4/2025,16381,16473
729,Churn Risk,Reactivation Journey,Completed,1/1/2025,10/24/2025,34401,35074
730,New Signups (Last 30 Days),Getting Started Journey,Scheduled,5/31/2025,10/20/2025,32580,25706
731,High CLV Customers,Exclusive Member Upgrade,Scheduled,8/6/2025,1/18/2025,20881,21509
732,High CLV Customers,Exclusive Member Upgrade,Completed,1/15/2025,2/13/2025,18810,19286
733,New Signups (Last 30 Days),New Signup Nurture,Scheduled,3/29/2025,10/7/2025,53816,38349
734,High CLV Customers,VIP Rewards,Scheduled,6/22/2025,9/14/2025,82344,66101
735,Churn Risk,Winback Flow,Completed,2/23/2025,9/27/2025,69497,58666
736,Inactive > 90 Days,Deep Winback,Scheduled,12/7/2025,6/4/2025,42982,44148
737,High CLV Customers,VIP Rewards,Active,6/26/2025,2/25/2025,39960,40135
738,Churn Risk,Loyalty Reminder,Scheduled,9/22/2025,11/20/2025,43851,36148
739,High CLV Customers,End-of-Year Upsell,Completed,10/24/2025,3/17/2025,6715,7172
740,Churn Risk,Reactivation Journey,Completed,4/26/2025,4/16/2025,41961,37244
741,Churn Risk,Loyalty Reminder,Completed,6/7/2025,12/7/2025,39560,34770
742,Inactive > 90 Days,Come-Back Offer,Completed,9/18/2025,3/29/2025,38410,39110
743,High CLV Customers,End-of-Year Upsell,Active,7/3/2025,4/10/2025,97187,96454
744,Churn Risk,Winback Flow,Scheduled,3/23/2025,12/26/2024,80560,60482
745,Inactive > 90 Days,Inactivity Reactivation Flow,Active,1/18/2025,8/18/2025,18261,19506
746,Churn Risk,Loyalty Reminder,Active,6/22/2025,11/2/2025,77946,64643
747,New Signups (Last 30 Days),Getting Started Journey,Scheduled,1/27/2025,1/10/2025,32419,30552
748,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,7/12/2025,6/15/2025,98057,81753
749,Churn Risk,Winback Flow,Active,6/27/2025,6/29/2025,50019,38917
750,Inactive > 90 Days,Inactivity Reactivation Flow,Active,9/3/2025,6/20/2025,96910,100665
751,Inactive > 90 Days,Come-Back Offer,Active,7/30/2025,4/9/2025,27468,22791
752,Inactive > 90 Days,Come-Back Offer,Scheduled,7/28/2025,12/25/2024,28672,25616
753,High CLV Customers,Premium Features Upsell,Scheduled,12/13/2024,5/19/2025,81936,81232
754,New Signups (Last 30 Days),Getting Started Journey,Completed,4/4/2025,5/8/2025,92581,65630
755,Inactive > 90 Days,Deep Winback,Active,9/18/2025,7/5/2025,75253,69262
756,High CLV Customers,Exclusive Member Upgrade,Scheduled,3/8/2025,12/25/2024,63205,53812
757,Churn Risk,Loyalty Reminder,Scheduled,9/19/2025,12/22/2024,95785,84154
758,Churn Risk,Loyalty Reminder,Active,6/12/2025,6/22/2025,90406,96834
759,Inactive > 90 Days,Deep Winback,Completed,11/30/2025,3/14/2025,78353,85965
760,New Signups (Last 30 Days),Welcome Series – Step 1,Active,2/2/2025,12/24/2024,76761,64511
761,Inactive > 90 Days,Come-Back Offer,Active,2/23/2025,8/28/2025,6308,6661
762,High CLV Customers,Premium Features Upsell,Scheduled,4/18/2025,4/8/2025,93728,101996
763,High CLV Customers,Premium Features Upsell,Scheduled,5/19/2025,12/6/2025,62820,62721
764,High CLV Customers,VIP Rewards,Scheduled,3/30/2025,1/28/2025,10333,7892
765,High CLV Customers,VIP Rewards,Scheduled,9/23/2025,5/6/2025,51911,45585
766,Churn Risk,Loyalty Reminder,Scheduled,7/6/2025,5/13/2025,27643,29928
767,High CLV Customers,End-of-Year Upsell,Scheduled,2/3/2025,12/4/2025,94551,86513
768,Churn Risk,Reactivation Journey,Completed,5/9/2025,2/6/2025,30202,24162
769,High CLV Customers,Exclusive Member Upgrade,Scheduled,5/18/2025,6/17/2025,56360,55581
770,Inactive > 90 Days,Come-Back Offer,Completed,6/14/2025,12/30/2024,88621,86766
771,High CLV Customers,Exclusive Member Upgrade,Completed,12/30/2024,1/30/2025,51038,40805
772,Churn Risk,Loyalty Reminder,Completed,7/12/2025,1/8/2025,97953,82985
773,High CLV Customers,Premium Features Upsell,Active,10/18/2025,7/5/2025,35591,38784
774,New Signups (Last 30 Days),New Signup Nurture,Scheduled,5/2/2025,6/12/2025,60463,54315
775,Inactive > 90 Days,Come-Back Offer,Scheduled,4/14/2025,3/29/2025,54532,58148
776,High CLV Customers,End-of-Year Upsell,Scheduled,2/26/2025,9/24/2025,63324,54164
777,Churn Risk,Winback Flow,Scheduled,2/22/2025,1/8/2025,42064,40230
778,Inactive > 90 Days,Come-Back Offer,Completed,1/7/2025,4/18/2025,27721,25428
779,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,2/24/2025,12/25/2024,23446,24707
780,High CLV Customers,VIP Rewards,Active,1/17/2025,9/6/2025,58780,55789
781,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,7/14/2025,1/26/2025,53951,55814
782,High CLV Customers,Exclusive Member Upgrade,Scheduled,4/19/2025,11/5/2025,73143,61865
783,High CLV Customers,Exclusive Member Upgrade,Completed,3/26/2025,9/6/2025,71060,71711
784,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,3/25/2025,2/9/2025,33914,33503
785,Inactive > 90 Days,Come-Back Offer,Scheduled,10/14/2025,8/3/2025,45016,40383
786,Churn Risk,Reactivation Journey,Active,11/24/2025,7/17/2025,10757,9691
787,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,8/23/2025,6/21/2025,5023,4656
788,Inactive > 90 Days,Deep Winback,Scheduled,9/1/2025,8/13/2025,69734,57249
789,High CLV Customers,VIP Rewards,Scheduled,12/22/2024,5/22/2025,79811,61824
790,Inactive > 90 Days,Come-Back Offer,Scheduled,11/11/2025,3/18/2025,42924,44782
791,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,3/9/2025,11/19/2025,57839,55318
792,High CLV Customers,Premium Features Upsell,Scheduled,11/20/2025,1/21/2025,56124,45875
793,Inactive > 90 Days,Deep Winback,Completed,1/20/2025,11/16/2025,61768,45403
794,High CLV Customers,Exclusive Member Upgrade,Active,11/3/2025,5/15/2025,25090,24193
795,Inactive > 90 Days,Come-Back Offer,Completed,8/4/2025,8/2/2025,24605,22723
796,New Signups (Last 30 Days),Getting Started Journey,Active,1/12/2025,6/11/2025,94990,103110
797,Churn Risk,Winback Flow,Scheduled,12/5/2025,6/22/2025,9326,8622
798,Churn Risk,Loyalty Reminder,Completed,1/13/2025,3/12/2025,87578,87732
799,New Signups (Last 30 Days),Welcome Series – Step 2,Active,2/11/2025,11/10/2025,12062,11482
800,High CLV Customers,Exclusive Member Upgrade,Completed,3/5/2025,12/20/2024,47185,40188
801,Churn Risk,Reactivation Journey,Scheduled,3/26/2025,2/15/2025,67578,61904
802,High CLV Customers,End-of-Year Upsell,Active,10/26/2025,12/12/2024,78996,82393
803,Inactive > 90 Days,Deep Winback,Active,6/12/2025,2/12/2025,10906,10206
804,High CLV Customers,Premium Features Upsell,Active,5/19/2025,5/16/2025,51202,42507
805,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,3/31/2025,3/5/2025,87511,78176
806,New Signups (Last 30 Days),New Signup Nurture,Scheduled,4/13/2025,3/9/2025,7811,7976
807,New Signups (Last 30 Days),Welcome Series – Step 2,Active,10/11/2025,3/7/2025,95509,76196
808,Inactive > 90 Days,Deep Winback,Scheduled,8/13/2025,9/2/2025,32850,28401
809,High CLV Customers,Exclusive Member Upgrade,Active,5/22/2025,6/17/2025,94389,69622
810,Churn Risk,We Miss You,Active,10/5/2025,1/30/2025,81484,66819
811,Churn Risk,Winback Flow,Completed,5/10/2025,4/22/2025,6104,4275
812,New Signups (Last 30 Days),Welcome Series – Step 2,Active,1/13/2025,11/27/2025,13633,9610
813,Churn Risk,Loyalty Reminder,Active,3/23/2025,9/13/2025,42721,30429
814,Inactive > 90 Days,Come-Back Offer,Active,11/1/2025,12/22/2024,49397,45529
815,High CLV Customers,Premium Features Upsell,Completed,1/10/2025,5/23/2025,65406,71934
816,Churn Risk,We Miss You,Active,11/13/2025,11/6/2025,47544,40061
817,New Signups (Last 30 Days),New Signup Nurture,Active,1/18/2025,10/25/2025,79285,58707
818,Inactive > 90 Days,Deep Winback,Active,11/28/2025,4/3/2025,63851,67538
819,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,11/22/2025,9/23/2025,80442,60143
820,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,1/1/2025,11/12/2025,18936,15196
821,Inactive > 90 Days,Deep Winback,Completed,7/23/2025,9/3/2025,48347,48253
822,High CLV Customers,VIP Rewards,Completed,2/4/2025,6/5/2025,15908,11191
823,Churn Risk,Winback Flow,Active,10/20/2025,11/18/2025,30216,30909
824,Inactive > 90 Days,Come-Back Offer,Scheduled,7/31/2025,1/27/2025,80084,77363
825,Churn Risk,Winback Flow,Active,12/11/2024,12/8/2025,42347,41856
826,Churn Risk,Loyalty Reminder,Completed,10/24/2025,6/7/2025,9130,9937
827,High CLV Customers,End-of-Year Upsell,Completed,9/3/2025,11/26/2025,57719,60484
828,Churn Risk,Reactivation Journey,Scheduled,3/26/2025,8/9/2025,23808,16944
829,Churn Risk,Loyalty Reminder,Active,11/16/2025,1/26/2025,76075,83025
830,High CLV Customers,Premium Features Upsell,Scheduled,11/13/2025,12/15/2024,62904,44988
831,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,3/31/2025,4/30/2025,19249,16622
832,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,5/15/2025,2/7/2025,33134,27208
833,High CLV Customers,Premium Features Upsell,Scheduled,3/6/2025,9/13/2025,46125,33535
834,Churn Risk,Loyalty Reminder,Completed,7/6/2025,9/22/2025,93562,99463
835,Churn Risk,We Miss You,Scheduled,5/29/2025,10/18/2025,15996,14801
836,New Signups (Last 30 Days),New Signup Nurture,Active,10/27/2025,8/27/2025,63229,55096
837,New Signups (Last 30 Days),New Signup Nurture,Completed,6/22/2025,4/12/2025,73056,56432
838,High CLV Customers,Exclusive Member Upgrade,Completed,8/1/2025,6/22/2025,84688,62779
839,New Signups (Last 30 Days),New Signup Nurture,Scheduled,10/19/2025,6/11/2025,79289,57788
840,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,6/26/2025,9/23/2025,52894,39895
841,Inactive > 90 Days,Come-Back Offer,Scheduled,1/2/2025,5/11/2025,79367,74809
842,New Signups (Last 30 Days),Getting Started Journey,Active,5/15/2025,5/11/2025,30074,26563
843,Inactive > 90 Days,Deep Winback,Scheduled,11/3/2025,8/26/2025,78362,69412
844,High CLV Customers,VIP Rewards,Active,4/4/2025,8/21/2025,24471,19635
845,High CLV Customers,End-of-Year Upsell,Completed,10/5/2025,5/25/2025,4801,3528
846,Inactive > 90 Days,Deep Winback,Scheduled,2/4/2025,9/26/2025,14725,15938
847,High CLV Customers,Premium Features Upsell,Scheduled,5/18/2025,2/12/2025,24385,23790
848,New Signups (Last 30 Days),Welcome Series – Step 2,Active,5/30/2025,1/17/2025,75214,79947
849,Churn Risk,Reactivation Journey,Scheduled,9/21/2025,1/13/2025,43085,45121
850,Churn Risk,Loyalty Reminder,Active,1/27/2025,12/1/2025,35473,36126
851,High CLV Customers,End-of-Year Upsell,Active,2/2/2025,12/30/2024,67405,63159
852,Churn Risk,We Miss You,Active,7/23/2025,3/7/2025,4938,3975
853,High CLV Customers,Premium Features Upsell,Completed,1/14/2025,1/1/2025,8350,6178
854,Churn Risk,We Miss You,Scheduled,5/16/2025,6/12/2025,57614,49996
855,New Signups (Last 30 Days),Welcome Series – Step 1,Active,5/14/2025,7/26/2025,21761,18596
856,High CLV Customers,End-of-Year Upsell,Completed,8/15/2025,2/18/2025,98230,75275
857,Inactive > 90 Days,Come-Back Offer,Completed,8/29/2025,3/7/2025,3360,2937
858,Inactive > 90 Days,Inactivity Reactivation Flow,Active,12/21/2024,3/23/2025,35377,28126
859,Churn Risk,Loyalty Reminder,Scheduled,6/5/2025,1/8/2025,73278,56038
860,New Signups (Last 30 Days),Getting Started Journey,Active,12/25/2024,10/25/2025,69993,62974
861,High CLV Customers,Exclusive Member Upgrade,Active,5/9/2025,5/29/2025,57262,61032
862,High CLV Customers,Exclusive Member Upgrade,Scheduled,9/12/2025,7/26/2025,5967,5753
863,Inactive > 90 Days,Inactivity Reactivation Flow,Active,2/24/2025,1/29/2025,81859,84021
864,High CLV Customers,End-of-Year Upsell,Completed,10/4/2025,12/5/2025,5454,5499
865,Churn Risk,Winback Flow,Completed,5/3/2025,8/26/2025,63829,59427
866,New Signups (Last 30 Days),Welcome Series – Step 1,Active,8/27/2025,2/4/2025,96067,78361
867,New Signups (Last 30 Days),New Signup Nurture,Completed,1/11/2025,7/19/2025,53543,47100
868,Churn Risk,Loyalty Reminder,Completed,11/27/2025,6/17/2025,96477,89144
869,New Signups (Last 30 Days),New Signup Nurture,Active,2/25/2025,5/15/2025,16222,16681
870,Churn Risk,Loyalty Reminder,Completed,2/20/2025,12/12/2024,1173,1201
871,Inactive > 90 Days,Come-Back Offer,Completed,8/27/2025,10/20/2025,67178,49921
872,Inactive > 90 Days,Inactivity Reactivation Flow,Active,7/26/2025,6/28/2025,86419,91381
873,Inactive > 90 Days,Come-Back Offer,Active,8/23/2025,9/9/2025,29410,29823
874,Churn Risk,Loyalty Reminder,Completed,11/30/2025,10/30/2025,58805,59180
875,New Signups (Last 30 Days),Getting Started Journey,Scheduled,5/31/2025,5/30/2025,27530,19311
876,High CLV Customers,End-of-Year Upsell,Scheduled,12/11/2024,3/17/2025,31273,22131
877,Churn Risk,We Miss You,Completed,7/28/2025,10/1/2025,34252,34860
878,New Signups (Last 30 Days),Getting Started Journey,Completed,10/27/2025,5/7/2025,64048,47350
879,New Signups (Last 30 Days),Welcome Series – Step 1,Active,2/5/2025,4/27/2025,98802,106615
880,High CLV Customers,Premium Features Upsell,Active,5/19/2025,1/21/2025,2255,1888
881,Churn Risk,Winback Flow,Active,6/27/2025,4/25/2025,29712,30004
882,High CLV Customers,End-of-Year Upsell,Scheduled,9/1/2025,3/8/2025,30916,30558
883,High CLV Customers,VIP Rewards,Completed,7/8/2025,2/7/2025,52358,56159
884,High CLV Customers,End-of-Year Upsell,Scheduled,9/10/2025,5/3/2025,54812,51977
885,New Signups (Last 30 Days),New Signup Nurture,Scheduled,12/5/2025,12/30/2024,46248,49258
886,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,5/27/2025,7/7/2025,5580,4682
887,High CLV Customers,Exclusive Member Upgrade,Active,11/14/2025,12/29/2024,37849,35327
888,High CLV Customers,Exclusive Member Upgrade,Active,3/1/2025,7/1/2025,28220,22460
889,New Signups (Last 30 Days),Getting Started Journey,Active,6/20/2025,7/27/2025,72207,64677
890,Inactive > 90 Days,Come-Back Offer,Completed,5/23/2025,9/18/2025,91782,66897
891,Churn Risk,Winback Flow,Completed,11/11/2025,2/19/2025,97607,79979
892,Churn Risk,We Miss You,Scheduled,1/24/2025,1/14/2025,30029,21489
893,Churn Risk,Loyalty Reminder,Active,2/25/2025,6/30/2025,81780,70859
894,High CLV Customers,Exclusive Member Upgrade,Active,5/13/2025,1/2/2025,12740,9005
895,Inactive > 90 Days,Inactivity Reactivation Flow,Active,12/19/2024,5/13/2025,18364,17639
896,High CLV Customers,Premium Features Upsell,Scheduled,2/16/2025,6/23/2025,70620,69950
897,Inactive > 90 Days,Deep Winback,Active,11/24/2025,5/1/2025,51737,38438
898,Churn Risk,Loyalty Reminder,Scheduled,5/29/2025,4/16/2025,44800,46815
899,New Signups (Last 30 Days),Getting Started Journey,Active,11/26/2025,8/26/2025,28744,29655
900,High CLV Customers,End-of-Year Upsell,Completed,2/20/2025,3/14/2025,31675,32811
901,New Signups (Last 30 Days),New Signup Nurture,Completed,3/31/2025,9/15/2025,17463,16092
902,High CLV Customers,End-of-Year Upsell,Scheduled,4/19/2025,2/4/2025,56086,61238
903,Churn Risk,We Miss You,Active,12/1/2025,1/25/2025,23057,24259
904,New Signups (Last 30 Days),New Signup Nurture,Completed,11/26/2025,3/29/2025,47082,49168
905,Inactive > 90 Days,Come-Back Offer,Active,7/1/2025,9/29/2025,11234,11091
906,New Signups (Last 30 Days),Getting Started Journey,Completed,5/22/2025,3/6/2025,88596,62134
907,High CLV Customers,VIP Rewards,Active,11/16/2025,1/28/2025,35269,38517
908,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,6/26/2025,9/19/2025,82098,84991
909,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,11/2/2025,4/28/2025,67226,55235
910,New Signups (Last 30 Days),New Signup Nurture,Completed,3/24/2025,6/20/2025,94517,69007
911,New Signups (Last 30 Days),Getting Started Journey,Completed,10/30/2025,8/17/2025,45193,37928
912,New Signups (Last 30 Days),Getting Started Journey,Completed,10/18/2025,2/2/2025,54961,55015
913,High CLV Customers,Premium Features Upsell,Active,2/11/2025,12/31/2024,82606,90620
914,High CLV Customers,Premium Features Upsell,Scheduled,9/11/2025,11/19/2025,77358,54987
